RTlexdec,RTnaming,Word,Familiarity,AgeSubject,WordCategory,WrittenFrequency,WrittenSpokenFrequencyRatio,FamilySize,DerivationalEntropy,InflectionalEntropy,NumberSimplexSynsets,NumberComplexSynsets,LengthInLetters,Ncount,MeanBigramFrequency,FrequencyInitialDiphone,ConspelV,ConspelN,ConphonV,ConphonN,ConfriendsV,ConfriendsN,ConffV,ConffN,ConfbV,ConfbN,NounFrequency,VerbFrequency,CV,Obstruent,Frication,Voice,FrequencyInitialDiphoneWord,FrequencyInitialDiphoneSyllable,CorrectLexdec
6.775137754,6.230875071,lisle,1.31,young,N,1.609437912,0.328504067,0.693147181,0,0,1.098612289,0,5,0,8.963221,12.78698,2,1.945910149,19,6.937314081,2,1.945910149,0,0,2.890371758,6.931471806,4,0,C,cont,short,voiced,11.97416581,12.18661456,5
6.482204804,6.160363084,ant,3.63,young,N,4.248495242,-0.328275469,5.517452896,5.20728,0.91507,1.098612289,3.17805383,3,5,8.365496,13.96953,11,6.255750042,11,5.356586275,9,5.214935758,0.693147181,5.805134969,0.693147181,3.135494216,209,0,V,cont,short,voiced,13.26917519,13.27309622,29
6.440882743,6.103453049,chunk,3.83,young,N,4.143134726,0.297251523,1.098612289,0.60025,0.98356,1.386294361,0,5,3,8.583471,12.67433,18,4.510859507,18,4.663439094,17,4.49980967,0.693147181,0.693147181,0.693147181,2.833213344,146,0,C,obst,frication,voiceless,6.575075841,6.770789424,27
6.465335688,6.162893663,ease,4.17,young,N,6.363028104,2.1917225,2.772588722,1.41627,1.22471,2.302585093,2.079441542,4,1,8.711285,13.02967,8,4.983606622,30,7.622663951,4,4.709530201,1.609437912,3.583518938,3.295836866,7.567345676,415,404,V,cont,long,voiced,8.075271546,8.157657015,29
6.610978643,6.159306783,yore,1.43,young,N,1.791759469,0.510825624,0.693147181,0,0,0.693147181,0,4,1,8.680223,12.18982,20,7.870929597,38,9.775824621,20,7.870929597,0,0,2.944438979,9.614738244,5,0,C,cont,short,voiced,10.64069946,10.6493932,14
6.535807149,6.145043635,brute,3.03,young,N,4.49980967,1.139434283,2.302585093,1.00028,0.68764,1.098612289,0,5,0,8.803095,10.9819,7,2.944438979,22,5.480638923,7,2.944438979,0,0,2.772588722,5.402677382,62,0,C,obst,burst,voiced,11.06810603,11.39766051,28
6.513838235,6.166677565,globe,3.47,young,N,5.220355825,1.636836887,1.945910149,1.0266,0.41811,1.386294361,2.564949357,5,2,8.435289,10.43834,4,3.36729583,4,3.36729583,4,3.36729583,0,0,0,0,201,0,C,obst,burst,voiced,9.495895183,10.00047814,29
6.364234272,6.177736624,crest,3.37,young,N,4.682131227,2.014903021,1.609437912,0.72551,1.06762,2.079441542,0,5,4,9.337134,11.27694,15,6.91274282,18,6.97354302,15,6.91274282,0,0,1.386294361,4.158883083,139,8,C,obst,burst,voiceless,11.08304983,11.59553718,27
6.517050696,6.115008733,churn,2.53,young,N,3.135494216,0.755948082,1.386294361,0.07762,1.83906,1.386294361,1.609437912,5,0,8.69119,12.67433,5,5.525452939,11,5.929589143,5,5.525452939,0,0,1.945910149,4.836281907,15,89,C,obst,frication,voiceless,8.23350314,8.254528882,26
6.389686822,6.192771404,cloth,4.63,young,N,6.698268054,0.962986912,2.995732274,1.5636,0.38172,0.693147181,2.995732274,5,1,9.194222,11.29955,12,6.658011046,7,3.891820298,7,3.891820298,1.791759469,6.59441346,0,0,875,0,C,obst,burst,voiceless,11.03059011,11.39345476,27
6.386171999,6.076035449,shirt,5.9,young,N,6.70073111,0.215790577,2.708050201,1.09589,0.82542,1.098612289,2.197224577,5,4,9.124099,12.41582,7,4.624972813,14,5.164785974,7,4.624972813,0,0,2.079441542,4.304065093,1096,0,C,obst,frication,voiceless,7.079184395,7.25488481,26
6.656546559,6.218400897,froth,2.13,young,N,3.688879454,2.407945609,1.791759469,0.85864,1.31204,1.386294361,0,5,3,9.335832,11.69309,12,6.658011046,7,3.891820298,7,3.891820298,1.791759469,6.59441346,0,0,35,26,C,obst,frication,voiceless,12.68663595,12.77547468,21
6.715443991,6.278709024,czar,2.73,young,N,3.044522438,1.763588592,0.693147181,0,0.65002,1.098612289,0,4,1,6.66399,4.14313,14,7.195937226,15,8.571491965,13,6.768493212,0.693147181,6.142037406,1.098612289,8.391629968,24,0,C,obst,frication,voiced,5.288267031,9.362632182,19
6.628821495,6.169192235,chive,2.6,young,N,1.098612289,-0.182321557,0.693147181,0,0.40218,0.693147181,1.386294361,5,4,9.200456,12.67433,13,6.903747258,12,6.056784013,11,6.056784013,1.098612289,6.345636361,0.693147181,0,25,0,C,obst,frication,voiceless,10.00906305,10.07230163,22
6.507218009,6.168145224,east,4.73,young,N,6.64898455,0.733321716,3.688879454,1.49226,0,1.098612289,2.564949357,4,2,8.738498,13.02967,6,6.311734809,6,6.320768294,5,6.29156914,0.693147181,2.48490665,0.693147181,2.833213344,578,0,V,cont,long,voiced,7.977281987,8.036896773,28
6.440547737,6.222179364,cliff,3.13,young,N,5.579729826,0.743447919,1.098612289,0.10328,0.96932,0.693147181,1.791759469,5,0,8.665705,11.29955,7,3.80666249,8,7.716015267,7,3.80666249,0,0,0.693147181,7.696212639,438,0,C,obst,burst,voiceless,11.03059011,11.39345476,28
6.399426535,6.123369618,moose,2.9,young,N,2.708050201,-1.137833002,0.693147181,0,0,0.693147181,0,5,4,8.978756,12.23054,5,4.709530201,12,4.454347296,4,4.110873864,0.693147181,3.931825633,2.197224577,3.258096538,14,0,C,cont,short,voiced,9.771440772,10.17542127,30
6.561794165,6.194813471,dearth,1.9,young,N,2.833213344,1.552279499,0.693147181,0,0,1.098612289,0,6,1,9.882276,12.82938,3,5.062595033,8,5.771441123,2,5.036952602,0.693147181,1.609437912,1.945910149,5.123963979,16,0,C,obst,burst,voiced,7.309212366,7.419979924,13
6.305398991,6.139237791,bride,3.4,young,N,5.236441963,1.470601468,1.945910149,1.50728,0.57963,1.098612289,1.098612289,5,3,8.921947,10.9819,13,6.558197803,27,7.033506484,13,6.558197803,0,0,2.708050201,6.063785209,217,0,C,obst,burst,voiced,11.06810603,11.39766051,29
6.450296631,6.08221891,roach,3.23,young,N,4.744932128,2.770851102,1.098612289,0.75049,0.17204,1.386294361,1.386294361,5,3,8.746636,12.87114,4,3.36729583,5,3.36729583,4,3.36729583,0,0,0.693147181,0,117,0,C,cont,short,voiced,10.28448919,10.74572262,28
6.446973002,6.113239604,base,4.3,young,N,7.0800265,1.495027561,2.833213344,1.41509,0.72546,3.33220451,3.044522438,4,8,8.583474,11.48169,6,6.37331979,17,7.556427969,4,6.165417854,1.098612289,4.709530201,2.63905733,7.271008538,1432,0,C,obst,burst,voiced,9.710206156,9.990582259,28
6.379037202,6.145686653,zone,4.53,young,N,5.313205979,0.664976304,1.791759469,0.09692,1.02365,1.791759469,3.091042453,4,8,6.956236,7.48717,19,8.343315881,29,7.390181428,15,5.659482216,1.609437912,8.272826004,2.708050201,7.195937226,290,6,C,obst,frication,voiced,6.400257445,6.992096427,25
6.258624984,6.107022888,face,5.97,young,N,8.987321813,1.145357301,3.970291914,0.8524,1.20293,3.17805383,3.401197382,4,11,8.370549,11.54842,12,7.224024808,17,7.556427969,12,7.224024808,0,0,1.791759469,6.295266001,8248,2438,C,obst,frication,voiceless,10.28178699,10.54312847,30
6.389015084,6.119197914,chop,3.6,young,N,4.882801923,-0.864040042,2.302585093,0.91881,1.77187,2.197224577,2.197224577,4,8,8.440009,12.67433,19,6.234410726,21,6.249975242,19,6.234410726,0,0,1.098612289,2.197224577,102,349,C,obst,frication,voiceless,6.809039306,7.349873705,26
6.400307278,6.174202684,sketch,3.93,young,N,5.043425117,1.05444107,2.397895273,0.78448,1.67527,1.945910149,1.098612289,6,0,8.972388,10.3889,8,3.931825633,8,3.931825633,8,3.931825633,0,0,0,0,199,109,C,obst,frication,voiceless,11.12901145,11.57856338,29
6.410372231,6.145686653,woe,2.67,young,N,3.891820298,1.512274164,1.386294361,0.88865,0.87398,1.098612289,0,3,7,7.225421,12.09597,10,3.737669618,41,8.837826364,8,3.135494216,0.693147181,2.708050201,3.496507561,8.833899943,68,0,C,cont,short,voiced,8.094378445,8.097730574,25
6.31385597,6.12249281,light,6.07,young,N,8.547528391,0.716943804,4.304065093,1.81804,1.4208,3.828641396,4.33073334,5,8,8.768657,12.78698,18,7.825245291,33,8.143517406,18,7.825245291,0,0,2.772588722,6.844815479,5219,977,C,cont,short,voiced,11.97416581,12.18661456,29
6.50151487,6.151668299,fawn,2.47,young,N,3.36729583,0.987749696,1.098612289,0,1.5896,1.791759469,0.693147181,4,3,7.814751,11.54842,10,4.779123493,13,8.864322723,10,4.779123493,0,0,1.386294361,8.847503626,27,20,C,obst,frication,voiceless,12.23025781,12.44546349,26
6.531984886,6.10880304,rite,3.27,young,N,4.060443011,1.680896876,2.197224577,0.87748,0.96846,1.098612289,0.693147181,4,15,8.735305,12.78563,13,6.805722553,33,8.143517406,13,6.805722553,0,0,3.044522438,7.839525582,144,0,C,cont,short,voiced,10.8313906,11.12037165,25
6.518970281,6.253636485,plough,2.52,young,N,5.187385806,1.709227383,2.079441542,0.4473,1.77573,1.386294361,1.386294361,6,1,9.345275,11.92678,12,7.323170718,17,7.705262475,3,1.098612289,2.302585093,7.321849714,2.708050201,7.704361168,118,285,C,obst,burst,voiceless,11.79633593,12.16309207,24
6.437527625,6.115008733,jack,3.83,young,N,4.304065093,-2.66044852,3.401197382,1.05172,0.87893,2.397895273,3.218875825,4,9,7.244434,8.49433,22,7.330405212,28,7.33171497,22,7.330405212,0,0,1.945910149,1.098612289,104,0,C,obst,frication,voiced,8.311643949,8.390041406,29
6.328347414,6.089724916,back,5.8,young,N,10.00206512,-0.23392968,4.744932128,0.8311,0.30044,2.995732274,4.8978398,4,16,8.176802,11.48169,22,7.330405212,28,7.33171497,22,7.330405212,0,0,1.945910149,1.098612289,3514,504,C,obst,burst,voiced,10.88076049,11.17094207,30
6.619926529,6.158037747,chow,3.59,young,N,2.772588722,-0.117783036,0.693147181,0,0.05746,1.098612289,1.945910149,4,6,8.552673,12.67433,28,8.227108234,17,7.705262475,12,7.69802917,2.833213344,7.33823815,1.791759469,2.833213344,15,0,C,obst,frication,voiceless,3.091042453,3.36729583,27
6.471913434,6.184767256,cent,5.37,young,N,9.214232787,5.630713848,0.693147181,0,0.10237,1.098612289,0,4,9,8.830017,12.69518,13,6.920671504,14,7.014814351,13,6.920671504,0,0,0.693147181,4.615120517,5155,0,C,obst,frication,voiceless,11.79886352,12.47590511,29
6.414507587,6.112353864,batch,3.4,young,N,4.276666119,0.916290732,0.693147181,0,0.75977,1.609437912,0.693147181,5,10,8.786835,11.48169,10,5.332718793,9,4.836281907,9,4.836281907,0.693147181,4.406719247,0,0,91,0,C,obst,burst,voiced,10.88076049,11.17094207,28
6.445068814,6.161629174,bitch,5.67,young,N,5.609471795,-0.56930185,1.791759469,0.42142,0.63175,1.791759469,0.693147181,5,8,8.683207,10.91272,11,4.634728988,14,8.227375507,11,4.634728988,0,0,1.386294361,8.199738961,289,21,C,obst,burst,voiced,12.10242178,12.32447327,29
6.341892519,6.099197247,fact,5.27,young,N,9.119430497,1.229147408,1.609437912,0.07314,0.49797,1.609437912,2.397895273,4,4,8.274801,11.54842,0,0,0,0,0,0,0,0,0,0,10251,0,C,obst,frication,voiceless,10.34810927,10.86509576,30
6.433807883,6.148468296,fence,3.87,young,N,5.991464547,-0.216722984,1.386294361,0.05892,1.21034,2.079441542,2.833213344,5,1,9.120977,11.81574,5,4.584967479,9,6.079933195,5,4.584967479,0,0,1.609437912,5.828945618,537,45,C,obst,frication,voiceless,9.173676388,10.62558656,28
6.368187186,6.177736624,string,4.53,young,N,6.011267174,0.652795885,2.48490665,0.61222,1.37659,2.772588722,3.17805383,6,3,9.992082,13.30069,19,6.774223886,19,6.774223886,19,6.774223886,0,0,0,0,562,97,C,obst,frication,voiceless,12.42202641,13.1273947,28
6.518660444,6.14761323,strife,2.8,young,N,4.718498871,2.744417845,0.693147181,0,0,1.098612289,0,6,5,9.487939,13.30069,6,6.93439721,6,6.93439721,6,6.93439721,0,0,0,0,111,0,C,obst,frication,voiceless,12.42202641,13.1273947,30
6.583367728,6.242417799,sprite,4.3,young,N,1.945910149,0.664976304,0.693147181,0,0.97095,0.693147181,1.098612289,6,0,9.655011,11.50982,13,6.805722553,33,8.143517406,13,6.805722553,0,0,3.044522438,7.839525582,10,0,C,obst,frication,voiceless,12.0300512,12.4928443,29
6.493239335,6.116333529,herb,3.7,young,N,4.477336814,1.586965057,1.945910149,1.07482,0.90806,1.098612289,2.63905733,4,4,8.606708,14.561,2,2.48490665,4,3.218875825,2,2.48490665,0,0,1.098612289,2.63905733,269,0,C,obst,frication,voiceless,11.24941554,11.27207609,29
6.453562005,6.114787763,herd,3.13,young,N,5.18178355,3.900849705,2.302585093,1.41809,1.61641,1.791759469,1.098612289,4,3,8.974918,14.561,1,3.135494216,7,6.643789733,1,3.135494216,0,0,1.945910149,6.6147256,282,80,C,obst,frication,voiceless,11.24941554,11.27207609,27
6.537213201,6.156555167,grove,2.8,young,N,4.976733742,1.056742567,0.693147181,0,0.81128,1.098612289,0,5,6,8.823564,11.50271,17,6.359573869,13,4.700480366,12,4.691347882,1.791759469,6.152732695,0.693147181,0.693147181,192,0,C,obst,burst,voiced,11.31994733,11.7487167,25
6.339176947,6.14117682,wow,5.5,young,N,3.610917913,-3.017123464,0.693147181,0,0,1.098612289,0,3,12,7.701427,12.09597,0,0,0,0,0,0,0,0,0,0,1,0,C,cont,short,voiced,6.173786104,6.177944114,30
6.401237032,6.093344011,word,6.52,young,N,8.28172399,0.441174907,3.33220451,0.22387,1.0255,2.302585093,4.043051268,4,8,8.538865,12.09597,6,6.021023349,7,6.643789733,1,5.616771098,1.791759469,4.927253685,1.945910149,6.202535517,8828,35,C,cont,short,voiced,10.94457665,11.0729776,27
6.490298558,6.169192235,sake,3.77,young,N,6.837332815,0.336043144,1.386294361,0.14148,0,1.386294361,0,4,16,8.234015,11.97534,19,7.413367336,22,7.473069088,19,7.413367336,0,0,1.386294361,4.634728988,909,0,C,obst,frication,voiceless,7.464509835,8.053569169,25
6.564940974,6.146757432,knoll,2.4,young,N,3.496507561,2.215573716,0.693147181,0,0.422,0.693147181,0,5,1,8.586993,10.87338,12,4.418840608,30,6.637258031,9,4.204692619,1.386294361,2.833213344,3.091042453,6.546785411,35,0,C,cont,short,voiced,11.54255223,11.62754796,22
6.528776296,6.214808078,sash,2.56,young,N,3.737669618,0.510825624,1.386294361,0.26173,0.77171,1.098612289,2.079441542,4,10,8.606579,11.97534,25,5.141663557,23,4.890349128,21,4.882801923,1.609437912,3.688879454,1.098612289,0.693147181,53,0,C,obst,frication,voiceless,9.473242953,9.871480756,16
